ResultID,Node2_x,Node2_y,MaxAxialForce,MaxStress,SumOfSxC,MaxSxC
447,0.125,-1.107,1.2746650549465979,1.2746650549465979,291.97362240289067,321.8642994776823
448,0.125,-1.105,1.275552689425226,1.275552689425226,291.70135746606326,321.6348687732547
449,0.125,-1.103,1.276444534446545,1.276444534446545,291.4295557570264,321.40601242118674
450,0.125,-1.101,1.2773406162776375,1.2773406162776375,291.1582198001817,321.1777333390851
451,0.125,-1.099,1.2782409613893009,1.2782409613893009,290.88735213830756,320.9500344646453
452,0.125,-1.097,1.2791455964579437,1.2791455964579437,290.6169553327256,320.7229187558275
453,0.125,-1.095,1.280054548367512,1.280054548367512,290.3470319634703,320.4963891910358
454,0.125,-1.093,1.280967844211426,1.280967844211426,290.07758462946015,320.27044876929784
455,0.125,-1.091,1.2818855112945493,1.2818855112945493,289.8086159486709,320.0451005104479
456,0.125,-1.089,1.2828075771351717,1.2828075771351717,289.54012855831036,319.820347455311
457,0.125,-1.087,1.2837340694670196,1.2837340694670196,289.27212511499533,319.5961926658894
458,0.125,-1.085,1.2846650162412825,1.2846650162412825,289.00460829493085,319.372639225551
459,0.125,-1.083,1.2856004456286696,1.2856004456286696,288.7375807940905,319.1496902392198
460,0.125,-1.081,1.2865403860214837,1.2865403860214837,288.47104532839967,318.92734883356906
461,0.125,-1.079,1.2874848660357174,1.2874848660357174,288.2050046339203,318.7056181572146
462,0.125,-1.077,1.2884339145131793,1.2884339145131793,287.939461467038,318.4845013809132
463,0.125,-1.075,1.2893875605236387,1.2893875605236387,287.67441860465124,318.26400169776093
464,0.125,-1.073,1.29034583336699,1.29034583336699,287.4098788443615,318.0441223233934
465,0.125,-1.071,1.2913087625754562,1.2913087625754562,287.14584500466856,317.82486649619136
466,0.125,-1.069,1.2922763779158006,1.2922763779158006,286.88231992516364,317.60623747748394
467,0.125,-1.067,1.2932487093915723,1.2932487093915723,286.6193064667292,317.3882385517581
468,0.125,-1.065,1.2942257872453764,1.2942257872453764,286.3568075117371,317.17087302686826
469,0.125,-1.063,1.2952076419611687,1.2952076419611687,286.09482596425215,316.9541442342492
470,0.125,-1.061,1.296194304266575,1.296194304266575,285.83336475023566,316.73805552913075
471,0.125,-1.059,1.2971858051352392,1.2971858051352392,285.5724268177526,316.52261029075504
472,0.125,-1.057,1.2981821757891976,1.2981821757891976,285.3120151371807,316.3078119225968
473,0.125,-1.055,1.2991834477012785,1.2991834477012785,285.05213270142184,316.09366385258494
474,0.125,-1.053,1.3001896525975303,1.3001896525975303,284.7927825261159,315.88016953332755
475,0.125,-1.051,1.3012008224596787,1.3012008224596787,284.53396764985723,315.66733244233944
476,0.125,-1.049,1.3022169895276097,1.3022169895276097,284.2756911344137,315.4551560822716
477,0.125,-1.047,1.3032381863018832,1.3032381863018832,284.01795606494755,315.243643981144
478,0.125,-1.045,1.30426444554627,1.30426444554627,283.7607655502393,315.0327996925796
479,0.125,-1.043,1.3052958002903305,1.3052958002903305,283.50412272291464,314.82262679604406
480,0.125,-1.041,1.3063322838320073,1.3063322838320073,283.2480307396735,314.61312889708415
481,0.125,-1.039,1.3073739297402591,1.3073739297402591,282.9924927815207,314.4043096275721
482,0.125,-1.037,1.3084207718577212,1.3084207718577212,282.73751205400185,314.1961726459514
483,0.125,-1.035,1.3094728443033965,1.3094728443033965,282.48309178743966,313.9887216374851
484,0.125,-1.033,1.3105301814753783,1.3105301814753783,282.22923523717327,313.781960314508
485,0.125,-1.031,1.3115928180536054,1.3115928180536054,281.9759456838022,313.5758924166811
486,0.125,-1.029,1.3126607890026474,1.3126607890026474,281.7232264334305,313.37052171124816
487,0.125,-1.027,1.313734129574526,1.313734129574526,281.47108081791623,313.1658519932977
488,0.125,-1.025,1.3148128753115664,1.3148128753115664,281.2195121951219,312.9618870860254
489,0.125,-1.023,1.3158970620492805,1.3158970620492805,280.968523949169,312.7586308410003
490,0.125,-1.021,1.316986725919292,1.316986725919292,280.71811949069547,312.5560871384357
491,0.125,-1.019,1.3180819033522821,1.3180819033522821,280.46830225711483,312.3542598874601
492,0.125,-1.017,1.319182631080987,1.319182631080987,280.21907571288097,312.1531530263948
493,0.125,-1.015,1.3202889461432168,1.3202889461432168,279.9704433497537,311.9527705230323
494,0.125,-1.013,1.3214008858849158,1.3214008858849158,279.7224086870681,311.7531163749185
495,0.125,-1.011,1.32251848796326,1.32251848796326,279.47497527200795,311.55419460963867
496,0.125,-1.009,1.3236417903497877,1.3236417903497877,279.22814667988104,311.3560092851062
497,0.125,-1.007,1.324770831333573,1.324770831333573,278.98192651439916,311.1585644898562
498,0.125,-1.005,1.3259056495244321,1.3259056495244321,278.73631840796014,310.96186434334015
499,0.125,-1.003,1.3270462838561683,1.3270462838561683,278.49132602193424,310.7659129962259
